Skp1_POZ PF03931.15 Zea_gi|293337209|ref|NP_001168727.1|
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRRNT_2 PF08263.12 137_Cf9B
Pkinase PF00069.25 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
LRR_8 PF13855.6 135720_PEPR1
Pkinase_Tyr PF07714.17 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_4 PF12799.7 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRR_1 PF00560.33 135720_PEPR1
LRRNT_2 PF08263.12 135720_PEPR1
LRRNT_2 PF08263.12 135720_PEPR1
SPOC PF07744.13 Aeg_gi|1149702678|ref|XP_020168558.1|
SPOC PF07744.13 Aeg_gi|1149702678|ref|XP_020168558.1|
Pkinase PF00069.25 161461_Serk3A
Pkinase_Tyr PF07714.17 161461_Serk3A
LRRNT_2 PF08263.12 161461_Serk3A
LRRNT_2 PF08263.12 161461_Serk3A
LRR_4 PF12799.7 161461_Serk3A
LRR_4 PF12799.7 161461_Serk3A
LRR_4 PF12799.7 161461_Serk3A
LRR_4 PF12799.7 161461_Serk3A
LRR_8 PF13855.6 161461_Serk3A
LRR_8 PF13855.6 161461_Serk3A
LRR_8 PF13855.6 161461_Serk3A
NB-ARC PF00931.22 170022_Rxo1
Rx_N PF18052.1 170022_Rxo1
Rx_N PF18052.1 170022_Rxo1
